t,H2O2,OH,HO2,H2O,O2
9.400000000000002,521221472843910.3,46429169.826207146,1947867284920.649,2749935713367.1025,365808557277.29297
9.600000000000001,521222562684847.5,36747108.85720064,1944121250439.3833,2749945271230.08,366907956077.5077
9.8,521223649929437.4,29086492.59553175,1940385396973.234,2749952833543.946,368002762981.2968
10.0,521224734259253.4,23024772.949701007,1936659935999.696,2749958817451.0674,369093076704.36005
10.200000000000003,521225815426670.9,18227834.62860324,1932945024548.1934,2749963552790.8115,370178979461.6571
10.400000000000002,521226893240025.8,14431465.096927425,1929240776629.543,2749967300393.176,371260540418.89764
10.600000000000001,521227967551881.5,11426712.079185933,1925547272275.6418,2749970266534.403,372337818415.8309
10.8,521229038249754.2,9048311.838592336,1921864564689.7024,2749972614360.954,373410864115.22394
11.0,521230105248780.5,7165543.637714106,1918192685902.2336,2749974472918.247,374479721698.7914
11.200000000000003,521231168485918.7,5675000.928753848,1914531651245.4224,2749975944287.0938,375544430205.7693
11.400000000000002,521232227915364.7,4494877.198755625,1910881462892.8882,2749977109224.8276,376605024589.53827
11.600000000000001,521233283504926.9,3560448.6254997505,1907242112660.2625,2749978031624.886,377661536551.81244
11.8,521234335233158.6,2820502.6400138424,1903613584220.9778,2749978762042.567,378713995201.3008
12.0,521235383087091.0,2234514.042094226,1899995854859.4907,2749979340482.7773,379762427573.8677
12.200000000000003,521236427060438.8,1770412.0345822398,1896388896858.4973,2749979798604.4233,380806859043.38275
12.399999999999999,521237467152182.5,1402814.3575735232,1892792678596.5774,2749980161463.661,381847313646.3004
12.600000000000001,521238503365445.5,1111630.7004863305,1889207165416.6895,2749980448892.5957,382883814338.14124
12.800000000000004,521239535706606.3,880958.0766853668,1885632320313.3352,2749980676589.7563,383916383196.2179
13.0,521240564184597.2,698207.0459548333,1882068104476.2134,2749980856982.667,384945041579.9227
13.200000000000003,521241588810347.1,553410.49109352,1878514477720.2905,2749980999910.214,385969810257.50586
13.399999999999999,521242609596343.8,438676.754660336,1874971398825.963,2749981113162.487,386990709506.39667
13.600000000000001,521243626556284.6,347756.9583538378,1871438825808.0527,2749981202907.9155,388007759192.6288
13.800000000000004,521244639704802.4,275702.6288914343,1867916716128.4604,2749981274031.24,389020978833.76447
14.0,521245649057247.7,218594.76537642517,1864405026864.2175,2749981330400.9736,390030387648.7827
14.200000000000003,521246654629516.5,173329.4186445292,1860903714840.2188,2749981375081.061,391036004597.67194
14.399999999999999,521247656437914.3,137447.9844929466,1857412736733.9934,2749981410498.4106,392037848412.88556
14.600000000000001,521248654499048.7,109002.87306487953,1853932049158.338,2749981438575.495,393035937624.3715
14.800000000000004,521249648829744.0,86451.17289433624,1850461608726.4126,2749981460835.3228,394030290579.5194
15.0,521250639446974.3,68570.46772043701,1847001372102.9504,2749981478484.532,395020925459.09467
15.200000000000003,521251626367810.6,54392.186017264634,1843551296044.4792,2749981492479.191,396007860289.99646
15.399999999999999,521252609609378.3,43148.827361833624,1840111337430.8286,2749981503576.8887,396991112955.50684
15.600000000000001,521253589188825.3,34232.17291027796,1836681453289.7449,2749981512377.9873,397970701203.5553
15.800000000000004,521254565123294.9,27160.191395992297,1833261600816.0474,2749981519358.29,398946642653.41174
16.0,521255537429906.0,21550.828852748513,1829851737386.4543,2749981524894.911,399918954801.1376
16.200000000000003,521256506125737.0,17101.248883768356,1826451820570.9966,2749981529286.7705,400887655024.0535
16.4,521257471227813.4,13571.388386683215,1823061808141.7083,2749981532770.8257,401852760584.42737
16.6,521258432753097.3,10770.930878150337,1819681658079.184,2749981535534.932,402814288632.5459
16.800000000000004,521259390718481.0,8548.986107882954,1816311328577.4302,2749981537728.025,403772256209.2958
17.0,521260345140779.9,6785.913246225522,1812950778047.379,2749981539468.197,404726680248.35754
17.200000000000003,521261296036728.7,5386.841787677478,1809599965119.3386,2749981540849.09,405677577578.0903
17.4,521262243422977.9,4276.537357546156,1806258848644.607,2749981541944.964,406624964923.17175
17.6,521263187316091.0,3395.3328821875284,1802927387696.4185,2749981542814.711,407568858906.0428
17.800000000000004,521264127732542.8,2695.9038304865635,1799605541570.3735,2749981543505.043,408509276048.1962
18.0,521265064688718.0,2140.712215972816,1796293269784.4546,2749981544053.0117,409446232771.34143
18.200000000000003,521265998200910.1,1699.9805100895494,1792990532078.7173,2749981544488.009,410379745398.46924
18.400000000000006,521266928285321.1,1350.0854897353058,1789697288414.731,2749981544833.3486,411309830154.8371
18.6,521267854958061.1,1072.2848700935924,1786413498974.814,2749981545107.532,412236503168.88855
18.800000000000004,521268778235147.6,851.7077081107112,1783139124161.1238,2749981545325.2354,413159780473.1217
19.0,521269698132506.6,676.5538625459933,1779874124594.6157,2749981545498.1074,414079678004.91455
19.200000000000003,521270614665971.6,537.4591849043005,1776618461113.9175,2749981545635.389,414996211607.3153
19.400000000000006,521271527851285.1,426.99208228403916,1773372094774.1274,2749981545744.4155,415909397029.8043
19.6,521272437704097.8,339.254242664743,1770134986845.5593,2749981545831.01,416819249929.03174
19.800000000000004,521273344239969.4,269.56394103631993,1766907098812.4507,2749981545899.7905,417725785869.5352
20.0,521274247474369.7,214.20483161142639,1763688392371.6362,2749981545954.4272,418629020324.4409
20.200000000000003,521275147422678.0,170.226667011532,1760478829431.2036,2749981545997.831,419528968676.1495
20.400000000000006,521276044100184.4,135.28720035374394,1757278372109.134,2749981546032.314,420425646217.0093
20.6,521276937522090.0,107.52674927415308,1754086982731.9336,2749981546059.7124,421319068149.9792
20.800000000000004,521277827703507.5,85.46866684127045,1750904623833.2617,2749981546081.4824,422209249589.2809
21.0,521278714659462.0,67.9403630413342,1747731258152.5542,2749981546098.7817,423096205561.0421
21.200000000000003,521279598404891.1,54.010628418459405,1744566848633.6528,2749981546112.5293,423979951003.9326
21.400000000000006,521280478954646.0,42.939891810448316,1741411358423.4338,2749981546123.4556,424860500769.792
21.6,521281356323491.8,34.14073951184413,1738264750870.4429,2749981546132.139,425737869624.2504
21.800000000000004,521282230526108.0,27.146577267951074,1735126989523.5383,2749981546139.042,426612072247.3435
22.0,521283101577089.3,21.5867533374917,1731998038130.5361,2749981546144.5283,427483123234.12024
22.200000000000003,521283969490946.1,17.16680946617675,1728877860636.8696,2749981546148.8906,428351037095.24554
22.400000000000006,521284834282104.9,13.652801295438133,1725766421184.2512,2749981546152.3584,429215828257.5968
22.6,521285695964909.4,10.858848981208848,1722663684109.3484,2749981546155.116,430077511064.85504
22.800000000000004,521286554553620.4,8.637251682492153,1719569613942.4644,2749981546157.3086,430936099778.0907
23.0,521287410062416.9,6.870637432116695,1716484175406.2314,2749981546159.0527,431791608576.34436
23.200000000000003,521288262505396.4,5.4657288106390105,1713407333414.312,2749981546160.4385,432644051557.20184
23.400000000000006,521289111896575.4,4.348391501576323,1710339053070.1108,2749981546161.542,433493442737.36536
23.6,521289958249890.5,3.4597014602936236,1707279299665.4968,2749981546162.419,434339796053.2186
23.800000000000004,521290801579197.8,2.7528209049968178,1704228038679.5327,2749981546163.116,435183125361.3878
24.0,521291641898275.3,2.190516635341382,1701185235777.2163,2749981546163.6714,436023444439.2977
24.200000000000003,521292479220821.2,1.7431884414790857,1698150856808.2332,2749981546164.113,436860766985.72345
24.400000000000006,521293313560456.6,1.3873026731284024,1695124867805.7156,2749981546164.464,437695106621.3365
24.6,521294144930724.2,1.1041475968937027,1692107234985.0127,2749981546164.7437,438526476889.24774
24.800000000000004,521294973345090.2,0.8788443870009768,1689097924742.4722,2749981546164.966,439354891255.5447
25.0,521295798816944.3,0.6995611747837516,1686096903654.2292,2749981546165.143,440180363109.8253
25.200000000000003,521296621359600.0,0.5568884334249228,1683104138475.006,2749981546165.284,441002905765.7262
